Generic Part Number	Device Description	Marketing Status	Literature Number	Literature Description
LM5111	5-A/3-A dual channel gate driver with active high or low output 4-V UVLO	ACTIVE	SNVM415	LM5111-3M TINA-TI Transient Spice Model
LM5112	3-A/7-A single channel gate driver with 4-V UVLO and input ground for split-supply operation	ACTIVE	SNVM390	LM5112 TINA-TI Transient Spice Model
LM5113	1.2-A/5-A, 100-V half bridge gate driver for GaNFET	NRND	SNVM459A	LM5113 TINA-TI Transient Spice Model (Rev. A)
LM5113-Q1	Automotive 1.2-A/5-A, 100-V half bridge gate driver for GaNFET	ACTIVE	SNVM459A	LM5113 TINA-TI Transient Spice Model (Rev. A)
LM5114	7.6-A/1.3-A single channel gate driver with 4-V UVLO and split outputs	ACTIVE	SNVM366	LM5114B TINA-TI Transient Spice Model
LM5114	7.6-A/1.3-A single channel gate driver with 4-V UVLO and split outputs	ACTIVE	SNVM367	LM5114A TINA-TI Transient Spice Model
LM5116	6-100V Wide Vin, Current Mode Synchronous Buck Controller	ACTIVE	SNVM052B	LM5116 TINA-TI Transient Spice Model (Rev. B)
LM5116-HT	80V High Temperature Wide Range Synchronous Buck Controller	ACTIVE	SNVM052B	LM5116 TINA-TI Transient Spice Model (Rev. B)
LM5117	5.5-65V Wide Vin, Current Mode Synchronous Buck Controller with Analog Current Monitor	ACTIVE	SNVM620A	LM5117 TINA-TI Transient Spice Model (Rev. A)
LM5121	3-65V Wide Vin, Current Mode Synchronous Boost with Disconnection Switch Control	ACTIVE	SNVMA47A	LM5121 TINA-TI Transient Spice Model (Rev. A)
LM5121-Q1	Automotive, 3-65-V wide VIN, current mode synchronous boost with disconnection switch control	ACTIVE	SNVMA47A	LM5121 TINA-TI Transient Spice Model (Rev. A)
LM5122	3-65V Wide Vin, Current Mode Synchronous Boost Controller with Multiphase Capability	ACTIVE	SNVM494B	LM5122 TINA-TI Transient Spice Model (Rev. B)
LM5122-Q1	Automotive, 3-V to 65-V wide VIN, current mode synchronous boost controller with multiphase	ACTIVE	SNVM494B	LM5122 TINA-TI Transient Spice Model (Rev. B)
LM5122ZA	3-V to 65-V wide VIN, current mode synchronous boost controller with multiphase capability	ACTIVE	SNVM494B	LM5122 TINA-TI Transient Spice Model (Rev. B)
LM5155	2.2-MHz wide VIN, 1.5-A MOSFET driver, non-synchronous boost controller	ACTIVE	SNVMBV7	LM5155-Q1 TINA-TI TRANSIENT SPICE MODEL
LM5155-Q1	2.2-MHz wide VIN, 1.5-A MOSFET driver, non-synchronous boost controller, AEC-Q100 qualified	ACTIVE	SNVMBV7	LM5155-Q1 TINA-TI TRANSIENT SPICE MODEL
LM51551	2.2-MHz wide VIN nonsynchronous boost, flyback, & SEPIC controller with hiccup	ACTIVE	SNVMBV7	LM5155-Q1 TINA-TI TRANSIENT SPICE MODEL
LM51551-Q1	2.2-MHz wide VIN, 1.5-A MOSFET driver, non-synchronous boost controller, hiccup mode protection	ACTIVE	SNVMBV7	LM5155-Q1 TINA-TI TRANSIENT SPICE MODEL
LM5164	6-V to 100-V input, 1-A synchronous buck DC-DC converter with ultra-low IQ	ACTIVE	SNVMBV5	LM5164-Q1 TINA-TI Spice Transient Model
LM5164-Q1	6-V to 100-V input, 1-A synchronous DC-DC buck converter with ultra-low IQ	ACTIVE	SNVMBV5	LM5164-Q1 TINA-TI Spice Transient Model
LM5170	Multiphase bidirectional current controller	ACTIVE	SNVMB68	LM5710 TINA-TI Transient Spice Model
LM5170-Q1	Multiphase bidirectional current controller, AEC-Q100 qualified	ACTIVE	SNVMB68	LM5710 TINA-TI Transient Spice Model
LM5575	6V to 75V, 1.5A Wide Vin Step-Down Regulator	ACTIVE	SNVM351	LM5575 TINA-TI Transient Spice Model
LM5575-Q1	75V, 1.5A Step-Down Switching Regulator	ACTIVE	SNVM351	LM5575 TINA-TI Transient Spice Model
LM5576	6V to 75V, 3A Wide Vin Step-Down Regulator	ACTIVE	SNVM549A	LM5576 TINA-TI Transient Spice Model (Rev. A)
LM5576-Q1	75V, 3A Step-Down Switching Regulator	ACTIVE	SNVM549A	LM5576 TINA-TI Transient Spice Model (Rev. A)
LM61460-Q1	Automotive 3-V to 36-V, 6-A, low-noise synchronous step-down converter	ACTIVE	SNVMBX2A	LM61460AAS-Q1 TINA-TI Startup Transient Model (Rev. A)
LM61460-Q1	Automotive 3-V to 36-V, 6-A, low-noise synchronous step-down converter	ACTIVE	SNVMBX3A	LM61460AAS-Q1 TINA-TI Steady State Transient Model (Rev. A)
LM61460-Q1	Automotive 3-V to 36-V, 6-A, low-noise synchronous step-down converter	ACTIVE	SNVMBX4A	LM61460AAN-Q1 TINA-TI Startup Transient Model (Rev. A)
LM61460-Q1	Automotive 3-V to 36-V, 6-A, low-noise synchronous step-down converter	ACTIVE	SNVMBX5A	LM61460AAN-Q1 TINA-TI Steady State Transient Model (Rev. A)
LM61460-Q1	Automotive 3-V to 36-V, 6-A, low-noise synchronous step-down converter	ACTIVE	SNVMC09	LM61460AFS-Q1 TINA-TI Startup Transient Model
LM61460-Q1	Automotive 3-V to 36-V, 6-A, low-noise synchronous step-down converter	ACTIVE	SNVMC10	LM61460AFS-Q1 TINA-TI Steady State Transient Model
LM6511	180 ns 3V Comparator	ACTIVE	SNOM729	LM6511 TINA-TI MACRO and Reference Design
LM7321	Single, 32-V, 20-MHz operational amplifier	ACTIVE	SNOM324	LM7322 TINA-TI Spice Model
LM7321-Q1	Automotive-grade, single, 32-V, 20-MHz operational amplifier	ACTIVE	SNOM324	LM7322 TINA-TI Spice Model
LM7322	Dual, 32-V, 20-MHz operational amplifier	ACTIVE	SNOM324	LM7322 TINA-TI Spice Model
LM7322-Q1	Automotive-grade, dual, 32-V, 20-MHz operational amplifier	ACTIVE	SNOM324	LM7322 TINA-TI Spice Model
LM73605	3.5V to 36V, 5A Synchronous Step-Down Voltage Converter	ACTIVE	SNVMBE1	LM73605 TINA-TI Transient Spice Model
LM73605-Q1	Automotive qualified 3.5-V to 36-V, 5-A synchronous step-down voltage converter	ACTIVE	SNVMBE1	LM73605 TINA-TI Transient Spice Model
LM74610-Q1	0.48-V to 42-V, zero IQ automotive ideal diode controller	ACTIVE	SNOM609	LM74610-Q1 TINA-TI Transient Spice Model
LM74670-Q1	0.48-V to 42-V, zero IQ automotive ideal diode rectifier controller with 70uA gate drive	ACTIVE	SNOM664	LM74670-Q1 TINA-TI Transient Spice Model
LM74700-Q1	3.2-V to 65-V, 80-uA IQ automotive ideal diode controller	ACTIVE	SNOM691	LM74700-Q1 TINA-TI Transient Model
LM7480-Q1	3-V to 65-V, automotive ideal diode controller driving back to back NFETs	ACTIVE	SLVMDD0	LM74800-Q1 TINA-TI Common Drain Transient Model
LM7480-Q1	3-V to 65-V, automotive ideal diode controller driving back to back NFETs	ACTIVE	SLVMDD1	LM74800-Q1 TINA-TI Common Source Transient Model
LM8261	Single, 30-V, 21-MHz operational amplifier	ACTIVE	SNOM669	LM8261 TINA-TI Spice Model
LM833	Dual bipolar low noise (4.5 nV/rtHz), wide bandwidth (16 MHz) audio operational amplifier	ACTIVE	SNLM202	LM833 TINA-TI Spice Model
LMC6061	Precision CMOS Single Micropower Operational Amplifier	ACTIVE	SNOM648A	LMC6061 TINA-TI Spice Model (Rev. A)
LMC6062	Precision CMOS Dual Micropower Operational Amplifier	ACTIVE	SNOM648A	LMC6061 TINA-TI Spice Model (Rev. A)
LMC6062-MIL	Precision CMOS Dual Micropower Operational Amplifier	ACTIVE	SNOM648A	LMC6061 TINA-TI Spice Model (Rev. A)
LMC6064	Precision CMOS Quad Micropower Operational Amplifier	ACTIVE	SNOM648A	LMC6061 TINA-TI Spice Model (Rev. A)
LMC6081	Precision CMOS Single Operational Amplifier	ACTIVE	SNOM642A	LMC6081 TINA-TI Spice Model (Rev. A)
LMC6081-MIL	Precision CMOS Single Operational Amplifier	ACTIVE	SNOM642A	LMC6081 TINA-TI Spice Model (Rev. A)
LMC6082	Precision CMOS Dual Operational Amplifier	ACTIVE	SNOM642A	LMC6081 TINA-TI Spice Model (Rev. A)
LMC6084	Precision CMOS Quad Operational Amplifier	ACTIVE	SNOM642A	LMC6081 TINA-TI Spice Model (Rev. A)
LMC6482	Ultra-low Bias Current, Precision CMOS Rail-to-Rail Input and Output Dual Operational Amplifier	ACTIVE	SNOM647B	LMC648x TINA-TI Spice Model (Rev. B)
LMC6482QML	Ultra-low Bias Current, Precision CMOS Rail-to-Rail Input and Output Operational Amplifier	ACTIVE	SNOM734	LMC648xQML TINA-TI Spice Model
LMC6484	Ultra-low Bias Current, Precision CMOS Rail-to-Rail Input and Output Quad Operational Amplifier	ACTIVE	SNOM647B	LMC648x TINA-TI Spice Model (Rev. B)
LMC6484QML	Ultra-low Bias Current, Precision CMOS Rail-to-Rail Input and Output Operational Amplifier	ACTIVE	SNOM734	LMC648xQML TINA-TI Spice Model
LME49600	1-channel, 110-MHz, high-fidelity, high-current headphone buffer	ACTIVE	SNAM139	LME49600 TINA-TI Spice Model
LME49723	2-channel, 17-MHz, high-fidelity, high-performance audio op amp	ACTIVE	SNAM156	LME49723 TINA-TI Spice Model
LME49724	2-channel, 50-MHz, high-fidelity, high-performance, fully-differential audio op amp	ACTIVE	SNAM093	LME49724 TINA-TI Spice Model
LME49726	2-channel, 6.25-MHz, RRO, low-distortion audio op amp with 350-mA output current	ACTIVE	SNAM048	LME49726 TINA-TI Spice Model
LME49743	4-channel, 30-MHz, high-fidelity, high-performance audio op amp	ACTIVE	SNAM197A	LME49743 TINA-TI Spice Model (Rev. A)
LMG1020	7-A/5-A single channel gate driver with 5-V UVLO for nano second input pulses	ACTIVE	SNOM620A	LMG1020 TINA-TI Transient Spice Model (Rev. A)
LMG1025-Q1	Automotive 7-A/5-A single-channel low-side gate driver with 5-V UVLO for narrow pulse applications	ACTIVE	SNOM620A	LMG1020 TINA-TI Transient Spice Model (Rev. A)
LMG1205	1.2-A, 5-A 100-V, half bridge gate driver with 5-V UVLO for GaNFET and MOSFET	ACTIVE	SNOM621A	LMG1205 TINA-TI Transient Spice Model (Rev. A)
LMG3410R070	600-V 70mΩ GaN with integrated driver and protection	ACTIVE	SNOM608B	LMG3410 TINA-TI Spice Model (Rev. B)
LMG5200	80V GaN Half Bridge Power Stage	ACTIVE	SNOM477	LMG5200 TINA-TI Transient Spice Model
LMH2832	Fully-Differential, Dual, 1.1 GHz Digital Variable Gain Amplifier	ACTIVE	SBOMA22A	LMH2832 TINA-TI Spice Model (Rev. A)
LMH32401	Programmable gain, differential output high-speed transimpedance amplifier	ACTIVE	SBOMB23	LMH32401 TINA-TI SPICE Model
LMH32404	Four-channel, differential output, transimpedance amplifier with integrated multiplexing	ACTIVE	SBOMBY4	LMH32404 TINA-TI Model
LMH3401	7-GHz, Ultra-Wideband, Fully Differential Amplifier	ACTIVE	SBOM910C	LMH3401 TINA-TI Spice Model (Rev. C)
LMH5401	8-GHz Ultra wideband fully differential amplifier	ACTIVE	SBOM920B	LMH5401 TINA Macromodel (Rev. B)
LMH5401-SP	Radiation Hardness Assured (RHA) 6.5GHz Ultra Wideband Fully Differential Amplifier	ACTIVE	SBOMAM0	LMH5401-SP TINA-TI Spice Model
LMH6401	4.5 GHz ultra wideband digital variable gain amplifier	ACTIVE	SBOM938	LMH6401 TINA-TI Spice Model
LMH6521	High Performance Dual DVGA	ACTIVE	SNOM322	LMH6521 TINA-TI Spice Model
LMH6523	High performance Quad DVGA with quick power down mode	ACTIVE	SNOM338	LMH6523 TINA-TI Spice Model
LMH6629	Ultra-Low Noise, High-Speed Operational Amplifier with Shutdown	ACTIVE	SNOM339	LMH6629 TINA-TI Spice Model
LMH6643Q-Q1	130MHz 75mA Rail to Rail Output Amplifier	ACTIVE	SNOM346	LMH6643Q TINA-TI Spice Model
LMH6654	Single Channel, Low Power, 250 MHz, Low Noise Amplifiers	ACTIVE	SNOM582	LMH6654 TINA-TI Spice Model
LMH6658	270MHz Single Supply, Single & Dual Operational Amplifiers	ACTIVE	SNOM588	LMH6658 TINA-TI Spice Model
LMH6723	Single Channel, 370 MHz, 1 mA Current Feedback Amplifier	ACTIVE	SNOM586	LMH6723 TINA-TI Spice Model
LMH6881	2.4GHz Programmable Differential Amplifier with Gain Control	ACTIVE	SNOM335	LMH6881 TINA-TI Spice Model
LMH6882	2.4 GHz Dual Programmable Differential Amplifier with Gain Control	ACTIVE	SNOM335	LMH6881 TINA-TI Spice Model
LMH7322	5.5-V, 700-ps, high-speed, dual RSPECL comparator	ACTIVE	SNOM327	LMH7322 TINA-TI Spice Model
LMH7324	Micropower, 700-ps, high-speed, quad RSPECL comparator	ACTIVE	SNOM330A	LMH7324 TINA-TI Spice Model (Rev. A)
LMP2011	Single, High Precision, Rail-to-Rail Output Operational Amplifier	ACTIVE	SNOM687A	LMP201x TINA-TI Spice Model (Rev. A)
LMP2012	Dual, High Precision, Rail-to-Rail Output Operational Amplifier	ACTIVE	SNOM686	LMP2012 TINA-TI SPICE Model
LMP2012	Dual, High Precision, Rail-to-Rail Output Operational Amplifier	ACTIVE	SNOM687A	LMP201x TINA-TI Spice Model (Rev. A)
LMP2012QML-SP	Dual, High Precision, Rail-to-Rail Output Operational Amplifier	ACTIVE	SNOM684A	LMP201xQML-SP TINA-TI Spice Model (Rev. A)
LMP2021	Zero Drift, Low Noise, EMI Hardened Single Amplifier	ACTIVE	SNOM644B	LMP2021 TINA-TI Spice Model (Rev. B)
LMP2022	Zero Drift, Low Noise, EMI Hardened Dual Amplifier	ACTIVE	SNOM644B	LMP2021 TINA-TI Spice Model (Rev. B)
LMP2231	Single Micropower, 1.6V, Precision Operational Amplifier with CMOS Inputs	ACTIVE	SNOM650A	LMP2231 TINA-TI Spice Model (Rev. A)
LMP2232	Dual, Micropower, 1.6V, Precision , Operational Amplifier with CMOS Input	ACTIVE	SNOM650A	LMP2231 TINA-TI Spice Model (Rev. A)
LMP2234	Quad Micropower, 1.6V, Precision,  Operational Amplifier with CMOS Input	ACTIVE	SNOM650A	LMP2231 TINA-TI Spice Model (Rev. A)
LMP7701	Precision, CMOS Input, RRIO, Wide Supply Range Single Amplifier	ACTIVE	SNOM641B	LMP770x TINA-TI Spice Model (Rev. B)
LMP7702	Precision, CMOS Input, RRIO, Wide Supply Range Dual Amplifier	ACTIVE	SNOM641B	LMP770x TINA-TI Spice Model (Rev. B)
LMP7704	Precision, CMOS Input, RRIO, Wide Supply Range Quad Amplifier	ACTIVE	SNOM641B	LMP770x TINA-TI Spice Model (Rev. B)
LMP7704-SP	Radiation hardness assured (RHA), precision, low-input bias, RRIO, wide supply range amplifiers	ACTIVE	SNOM738	LMP7704-SP TINA-TI Spice Model
LMP7721	3 Femtoampere Input Bias Current Precision Amplifier	ACTIVE	SNOM304B	LMP7721 TINA-TI Spice Model (Rev. B)
LMP7731	Single 2.9 nV/sqrt(Hz) Low Noise, Precision, RRIO Amplifier	ACTIVE	SNOM657A	LMP7731 TINA-TI Spice Model (Rev. A)
LMP7732	Dual 2.9 nV/sqrt(Hz) Low Noise, Precision, RRIO Amplifier	ACTIVE	SNOM657A	LMP7731 TINA-TI Spice Model (Rev. A)
LMP8480	4 to 76V current sense amplifier	ACTIVE	SNVM047B	LMP8480 TINA-TI Spice Model (Rev. B)
LMP8480-Q1	AEC-Q100, 4 to 76V current sense amplifier	ACTIVE	SNVM047B	LMP8480 TINA-TI Spice Model (Rev. B)
LMP8481	4 to 76V, bi-directional current sense amplifier	ACTIVE	SNVM348A	LMP8481 TINA-TI Spice Model (Rev. A)
LMP8481-Q1	AEC-Q100, 4 to 76V, bi-directional current sense amplifier	ACTIVE	SNVM348A	LMP8481 TINA-TI Spice Model (Rev. A)
LMP8646	-2 to 76V, configurable gain and bandwidth, high-speed current limiter	ACTIVE	SNOM320	LMP8646 TINA-TI Spice Model
LMP8672	Dual 40V Low Noise Precision Amplifiers	ACTIVE	SNOM317	LMP8672 TINA-TI Spice Model
LMP91200	Integrated AFE for Low-Power pH Sensing Applications	ACTIVE	SNAM131A	LMP91200 TINA-TI Transient Spice Model (Rev. A)
LMR10510	3V to 5.5V, 1A Step-Down DC/DC Switching Regulator in SOT-23 Package	ACTIVE	SNVM545	LMR10510X TINA-TI Transient Spice Model
LMR10515	5.5Vin, 1.5A Step-Down Voltage Regulator in SOT-23 and LLP	ACTIVE	SNVM554	LMR10515X TINA-TI Transient Spice Model
LMR12010	3V to 20V, 1A Step-Down DC/DC Switching Regulator in SOT-23	ACTIVE	SNVM247	LMR12010X TINA-TI Transient Spice Model
LMR14206	4.5V to 42V, 0.6A Step-Down DC/DC Switching Regulator in SOT-23 Package	ACTIVE	SNVM645	LMR14206 TINA-TI Transient Model
LMR36015	4.2-V to 60-V, 1.5-A ultra-small synchronous step-down converter	ACTIVE	SNVMBU9	LMR36015FB TINA-TI Transient Model
LMR36506-Q1	3-V to 65-V, 0.6-A buck converter optimized for size and light load efficiency	ACTIVE	SNVMC46	LMR36506MSC-Q1 TINA-TI Buck Startup Transient Model
LMR36506-Q1	3-V to 65-V, 0.6-A buck converter optimized for size and light load efficiency	ACTIVE	SNVMC47	LMR36506MSC-Q1 TINA-TI Buck Steady State Transient Model
LMR36506-Q1	3-V to 65-V, 0.6-A buck converter optimized for size and light load efficiency	ACTIVE	SNVMC48	LMR36506MSC-Q1 TINA-TI IBB Startup Transient Model
LMR36506-Q1	3-V to 65-V, 0.6-A buck converter optimized for size and light load efficiency	ACTIVE	SNVMC49	LMR36506MSC-Q1 TINA-TI IBB Steady State Transient Model
LMR61428	1.2V to 14V, 2.85A 2MHz Step-Up Voltage Regulator	ACTIVE	SNVM650	LMR61428 TINA Transient Model
LMR62421	SIMPLE SWITCHER 2.7V to 5.5V, 24Vout, 2.1A Boost Converter in SOT-23	ACTIVE	SNVM624	LMR62421 TINA-TI Transient Spice Model
LMR64010	SIMPLE SWITCHER&reg; 2.7V to 14V, 1A Step-Up Regulator in SOT-23 Package	ACTIVE	SNVM660	LMR64010 TINA-TI Transient Spice Model
LMT70	0.1C analog temperature sensor, -5.19 mV/C, high-precision matched pairs, output enable pin	ACTIVE	SNIM007	LMT70 TINA-TI Spice Model
LMV321A	Single, 5.5-V, 1-MHz, 4-mV offset voltage, RRO operational amplifier	ACTIVE	SLOM449	LMV321A TINA-TI Spice Model
LMV324A	Quad, 5.5-V, 1-MHz, 4-mV offset voltage, RRO operational amplifier	ACTIVE	SBOMAN1	LMV358A TINA-TI Spice Model
LMV324A-Q1	Automotive-grade, quad, 5.5-V, 1-MHz, 4-mV offset voltage, RRO operational amplifier	ACTIVE	SBOMAN1	LMV358A TINA-TI Spice Model
LMV341	Single, 5.5-V, 1-MHz, high output current (75-mA) operational amplifier	ACTIVE	SLOM483	LMV342 TINA-TI Spice Model
LMV341	Single, 5.5-V, 1-MHz, high output current (75-mA) operational amplifier	ACTIVE	SNOM674	LMV342S TINA-TI Spice Model
LMV342	Dual, 5.5-V, 1-MHz, high output current (75-mA) operational amplifier	ACTIVE	SLOM483	LMV342 TINA-TI Spice Model
LMV342	Dual, 5.5-V, 1-MHz, high output current (75-mA) operational amplifier	ACTIVE	SNOM674	LMV342S TINA-TI Spice Model
LMV344	Quad, 5.5-V, 1-MHz, high output current (75-mA) operational amplifier	ACTIVE	SLOM483	LMV342 TINA-TI Spice Model
LMV358A	Dual, 5.5-V, 1-MHz, 4-mV offset voltage, RRO operational amplifier	ACTIVE	SBOMAN1	LMV358A TINA-TI Spice Model
LMV358A-Q1	Automotive-grade, dual, 5.5-V, 1-MHz, 4-mV offset voltage, RRO operational amplifier	ACTIVE	SBOMAN1	LMV358A TINA-TI Spice Model
LMV641	10 MHz, 12V, Low Power Amplifier	ACTIVE	SNOM658A	LMV641 TINA-TI Spice Model (Rev. A)
LMV7219	7 nsec, 2.7V to 5V Comparator with Rail-to- Rail Output	ACTIVE	SNOM460	LMV7219 TINA-TI Spice Model
LMV7235	High speed, low voltage open-drain comparator	ACTIVE	SNOM727	LMV7235 TINA-TI SPICE Model
LMV7239	High speed, low voltage push-pull comparator	ACTIVE	SNOM725	LMV7239 TINA-TI Model
LMV7239-Q1	Automotive-grade, micropower, 75-ns, single rail-to-rail comparator	ACTIVE	SNOM725	LMV7239 TINA-TI Model
LMV771	Single, Low Offset, Low Noise, RRO Operational Amplifiers	ACTIVE	SNOM637A	LMV771 TINA-TI Spice Model (Rev. A)
LMV772	Dual, Low Offset, Low Noise, RRO Operational Amplifiers	ACTIVE	SNOM637A	LMV771 TINA-TI Spice Model (Rev. A)
LMV772-Q1	Automotive, Low Offset, Low Noise, RRO Operational Amplifiers	ACTIVE	SNOM637A	LMV771 TINA-TI Spice Model (Rev. A)
LMV774	Quad, Low Offset, Low Noise, RRO Operational Amplifiers	ACTIVE	SNOM637A	LMV771 TINA-TI Spice Model (Rev. A)
LMV841	Single CMOS Input, RRIO, Wide Supply Range Operational Amplifiers	ACTIVE	SNOM638A	LMV841 TINA-TI Spice Model (Rev. A)
LMV841-Q1	Automotive, CMOS Input, RRIO, Wide Supply Range Operational Amplifiers	ACTIVE	SNOM638A	LMV841 TINA-TI Spice Model (Rev. A)
LMV842	Dual CMOS Input, RRIO, Wide Supply Range Operational Amplifiers	ACTIVE	SNOM638A	LMV841 TINA-TI Spice Model (Rev. A)
LMV842-Q1	Automotive, Dual CMOS Input, RRIO, Wide Supply Range Quad Operational Amplifiers	ACTIVE	SNOM638A	LMV841 TINA-TI Spice Model (Rev. A)
LMV844	Quad CMOS Input, RRIO, Wide Supply Range Operational Amplifiers	ACTIVE	SNOM638A	LMV841 TINA-TI Spice Model (Rev. A)
LMV844-Q1	Automotive, Quad CMOS Input, RRIO, Wide Supply Range Quad Operational Amplifiers	ACTIVE	SNOM638A	LMV841 TINA-TI Spice Model (Rev. A)
LMZ10500	5.5V, 0.5A Step-Down DC/DC Power Module in 3mm × 2.6mm Package	ACTIVE	SNVM083	LMZ10500 TINA-TI Average Spice Model
LMZ10500	5.5V, 0.5A Step-Down DC/DC Power Module in 3mm × 2.6mm Package	ACTIVE	SNVM087	LMZ10500 TINA-TI Steady2 Transient Spice Model
LMZ13610	10A SIMPLE SWITCHER&reg; Power Module with 36V Maximum Input Voltage	ACTIVE	SNVMAG5	LMZ13610 TINA-TI Transient Spice Model
LMZ13610	10A SIMPLE SWITCHER&reg; Power Module with 36V Maximum Input Voltage	ACTIVE	SNVMAG9	LMZ13610 TINA-TI Average Spice Model
LMZ14202EXT	2A SIMPLE SWITCHER Power Module with 42V Maximum Input Voltage for Military and Rugged App	ACTIVE	SNVMB95	LMZ14202 TINA-TI Transient Spice Model
LMZ21701	3V to 17V, 1A Step-Down DC/DC Power Module in 3.5mm × 3.5mm Package	ACTIVE	SNVM990	LMZ21701 TINA-TI Transient Spice Model
LMZ23603	3A SIMPLE SWITCHER&reg; Power Module with 36V Maximum Input Voltage	ACTIVE	SNVM564	LMZ23603 TINA-TI Transient Spice Model
LMZ23603	3A SIMPLE SWITCHER&reg; Power Module with 36V Maximum Input Voltage	ACTIVE	SNVM631	LMZ23603 TINA-TI Average Spice Model
LMZ31506	4.5V to 15V, 6A Step-Down Power Module in 9x15x2.8mm QFN Package	ACTIVE	SLVM594	TPS84621 TINA-TI Transient Spice Model
LOG104	Precision logarithmic and log ratio amplifier with scale factor of 0.5-V/decade	ACTIVE	SBOM162A	LOG104 TINA-TI Spice Model (Rev. A)
LOG114	Precision High-Speed Logarithmic Amplifier with 2.5V Reference and Uncommitted Output Op Amps	ACTIVE	SBOM385C	LOG114 TINA-TI Spice Model (Rev. C)
LP2992	250-mA, 16-V, low-dropout voltage regulator with enable	ACTIVE	SNVMA19	LP2992_1P8 TINA-TI Transient Spice Model
LP2992	250-mA, 16-V, low-dropout voltage regulator with enable	ACTIVE	SNVMA22	LP2992_2P5 TINA-TI Transient Spice Model
LP2998	1.5-A DDR termination regulator with shutdown pin	ACTIVE	SNVMB48	LP2998 TINA-TI Transient Spice Model
LP3470	Active-low reset IC with programmable delay and&nbsp;1% reset threshold	NRND	SNVM698	LP3470 TINA-TI Transient Spice Model
LP5907	250-mA, low-noise, high-PSRR, ultra-low-dropout voltage regulator with low IQ and enable	ACTIVE	SNVM611	LP5907 TINA-TI Transient Spice Model
LP8758-E0	Four-phase, quad 4A output DC-DC step-down converter	ACTIVE	SNVMBG6	LP8758-E0 TINA-TI Transient Spice Model
LP8758-E3	Four-phase, four 4A output DC-DC step-down converters	ACTIVE	SNVMBG6	LP8758-E0 TINA-TI Transient Spice Model
LPV542	Dual, 5.5-V, 8-kHz, ultra low quiescent current (480-nA), 1.6-V min supply, RRIO op amp	ACTIVE	SNOM490	LPV542 TINA-TI Spice Model
LPV7215	Nanopower, CMOS, single comparator	ACTIVE	SNOM730	LPV7215 TINA-TI SPICE Model
LPV801	Single, 5.5-V, 8-kHz, ultra low quiescent current (450-nA), 1.6-V min supply, RRO op amp	ACTIVE	SNOM594	LPV801 TINA-TI Spice Model
LPV802	Dual, 5.5-V, 8-kHz, ultra low quiescent current (320-nA), 1.6-V min supply, RRO op amp	ACTIVE	SNOM591	LPV802 TINA-TI Spice Model
LPV811	Single Channel 450nA Precision Nanopower Operational Amplifier	ACTIVE	SNOM602	LPV811 TINA-TI Spice Model
LPV812	Dual Channel 425nA Precision Nanopower Operational Amplifiers	ACTIVE	SNOM601	LPV812 TINA-TI Spice Model
LPV821	650nA, Precision Zero-Drift Nanopower Amplifier	ACTIVE	SNOM631A	LPV821 TINA-TI Spice Model (Rev. A)
MC33063A-Q1	1.5-A peak boost/buck/inverting switching regulator, AEC-Q100 qualified	ACTIVE	SLLM381	MC33063A-Q1 TINA-TI Transient Spice Model
MCP6291	Single, 5.5-V, 10-MHz, 50-mA output current, low noise (8.7-nV/√Hz), RRIO operational amplifier	ACTIVE	SBOMAH0C	MCP6292 TINA-TI Spice Model (Rev. C)
MCP6292	Dual, 5.5-V, 10-MHz, low noise (8.7-nV/√Hz), RRIO operational amplifier	ACTIVE	SBOMAH0C	MCP6292 TINA-TI Spice Model (Rev. C)
MCP6294	Quad, 5.5-V, 10-MHz, 50-mA output current, low noise (8.7-nV/√Hz), RRIO operational amplifier	ACTIVE	SBOMAH0C	MCP6292 TINA-TI Spice Model (Rev. C)
MSP430F2234	16 MHz MCU with 8KB Flash, 512B SRAM, 10-bit ADC, 2 OpAmp, I2C/SPI/UART	ACTIVE	SLAM087	MSP430 Op Amp (OA) Module SPICE/TINA Models
MSP430F2252-Q1	Automotive 16-MHz MCU with 16-kb Flash, 512B SRAM, 10-bit ADC, I2C/SPI/UART	ACTIVE	SLAM087	MSP430 Op Amp (OA) Module SPICE/TINA Models
MSP430F2254	16 MHz MCU with 16KB Flash, 512B SRAM, 10-bit ADC, I2C/SPI/UART	ACTIVE	SLAM087	MSP430 Op Amp (OA) Module SPICE/TINA Models
MSP430F2272-Q1	Automotive 16-MHz MCU with 32-kb Flash, 512B SRAM, 10-bit ADC, I2C/SPI/UART	ACTIVE	SLAM087	MSP430 Op Amp (OA) Module SPICE/TINA Models
MSP430F2274	16 MHz MCU with 32KB Flash, 1KB SRAM, 10-bit ADC, 2 OpAmp, I2C/SPI/UART	ACTIVE	SLAM087	MSP430 Op Amp (OA) Module SPICE/TINA Models
MSP430FG4250	8 MHz MCU with 16KB Flash, 256B SRAM, 16-bit sigma-delta ADC, 12-bit DAC, 2 OpAmp, 56 seg LCD	ACTIVE	SLAM087	MSP430 Op Amp (OA) Module SPICE/TINA Models
MSP430FG4260	8 MHz MCU with 24KB Flash, 256B SRAM, 16-bit sigma-delta ADC, 12-bit DAC, 2 OpAmp, 56 seg LCD	ACTIVE	SLAM087	MSP430 Op Amp (OA) Module SPICE/TINA Models
