Generic Part Number	Device Description	Marketing Status	Literature Number	Literature Description
ADS7056	14-bit 2.5-MSPS ultra-low-power ultra-small-size SAR ADC with SPI	ACTIVE	SBAM316	ADS7056 TINA-TI Transient Spice Model
ADS7057	14-Bit, 2.5MSPS, Differential Input, Small-Size Low-Power SAR ADC	ACTIVE	SBAM365	ADS7057 TINA-TI Transient Spice Model
ADS7128	Small 8-ch 12-bit analog-to-digital converter (ADC) with I2C interface, GPIOs, CRC and RMS module	ACTIVE	SBAM431	TLA2528 TINA-TI Spice Model
ADS7138	8-channel, 140-kSPS, 12-bit analog-to-digital converter (ADC) with I2C, GPIOs and CRC	ACTIVE	SBAM431	TLA2528 TINA-TI Spice Model
ADS7138-Q1	Automotive, 8-channel, 140-kSPS, 12-bit analog-to-digital converter (ADC) with I2C, GPIOs and CRC	ACTIVE	SBAM431	TLA2528 TINA-TI Spice Model
ADS7142	12-bit 140-kSPS 2-ch nanopower SAR ADC with 1.8-V operation in 1.5-mm x 2-mm QFN package	ACTIVE	SBAM380	ADS7142 TINA-TI Transient Spice Model
ADS7142-Q1	Automotive 2-channel 12-bit 140-kSPS I2C-compatible ADC with programmable threshold and host wake-up	ACTIVE	SBAM380	ADS7142 TINA-TI Transient Spice Model
ADS7250	SAR ADC, Dual, 750 kSPS, 12 Bit, Simultaneous Sampling	ACTIVE	SBAM192	ADS7250 TINA-TI Spice Model
ADS7251	SAR ADC, Dual, 2 MSPS, 12 Bit, Simultaneous Sampling	ACTIVE	SBAM193	ADS7251 TINA-TI Spice Model
ADS7850	SAR ADC, Dual, 750 kSPS, 14 Bit, Simultaneous Sampling	ACTIVE	SBAM192	ADS7250 TINA-TI Spice Model
ADS7851	SAR ADC, Dual, 1.5 MSPS, 14 Bit, Simultaneous Sampling	ACTIVE	SBAM193	ADS7251 TINA-TI Spice Model
ADS7883	2.7V-5.5V, 12 bit, 3MSPS, Serial ADC	ACTIVE	SLAM204	ADS7883 TINA-TI Spice Model
ADS7886	2.35V-5.25V, 12 bit, 1MSPS, Serial ADC	ACTIVE	SLAM203	ADS7886 TINA-TI Spice Model
ADS7924	12-Bit 4-Ch MUX-Input SAR ADC With Intelligent System Power Control	ACTIVE	SBAM428	ADS7924 TINA-TI Spice Mode
ADS7945	14-Bit, 2MSPS, Dual-Channel, Unipolar, Differential, u-Power SAR ADC	ACTIVE	SBAM186	ADS7945 TINA-TI Spice Model
ADS7946	14-Bit, 2MSPS, Dual-Channel, Unipolar, Pseudo-Differential, u-Power SAR ADC	ACTIVE	SBAM184	ADS7946 TINA-TI Spice Model
ADS7953	12-Bit, 1-MSPS, 16-Channel, Single-Ended, microPower SAR ADC with Serial I/F	ACTIVE	SLAM339	ADS7953 TINA-TI Transient Spice Model
ADS8166	16-bit, 250-kSPS, 8-ch SAR ADC with VREF, VREF buffer and direct sensor interface	ACTIVE	SBAM393	ADS8166 TINA-TI Transient Spice Model
ADS8167	16-bit, 500-kSPS, 8-ch SAR ADC with VREF, VREF buffer and direct sensor interface	ACTIVE	SBAM403	ADS8167 TINA-TI Transient Spice Model
ADS8168	16-bit, 1-MSPS, 8-ch SAR ADC with VREF, VREF buffer and direct sensor interface	ACTIVE	SBAM350A	ADS8168 TINA-TI Transient Spice Model (Rev. A)
ADS8201	2.2V to 5.5V, Low-Power, 12-Bit, 100kSPS, 8-Channel DAS with PGA and SPI&trade;	ACTIVE	SLAM299	ADS8201 TINA-TI Transient Spice Model
ADS8318	16-Bit, Unipolar Differential Input, 500kSPS Serial Out, 4.5V-to-5.5V Micropower Sampling ADC	ACTIVE	SLAM208	ADS8318 TINA-TI Spice Model
ADS8319	Precision 16-Bit SAR Analog-to-Digital Converter (ADC) With SPI Interface	ACTIVE	SLAM206	ADS8319 TINA-TI Spice Model
ADS8326	16-Bit, Pseudo-Diff Input, 250kSPS Serial Out, 2.7V-to-5.5V Micropower Sampling ADC	ACTIVE	SBAM347	ADS8326 TINA-TI Transient Spice Model
ADS8327	2.7V-to-5.5V 16-Bit 500kSPS Serial Analog-to-Digital Converter (ADC)	ACTIVE	SLAM312	ADS8327 TINA-TI Spice Model
ADS8332	2.7V-to-5.5V, 16-Bit, 500kSPS Low-Power Serial ADC With 8-Ch Multiplexer and Breakout	ACTIVE	SBAM182	ADS8332 TINA-TI Spice Model
ADS8339	16-bit, 250-kSPS, serial-interface micropower, miniature SAR ADC	ACTIVE	SLAM206	ADS8319 TINA-TI Spice Model
ADS8350	Dual 750kSPS 16-Bit Simultaneous-Sampling SAR Analog-to-Digital Converter (ADC)	ACTIVE	SBAM192	ADS7250 TINA-TI Spice Model
ADS8353	16-bit 600-kSPS 2-channel simultaneous-sampling SAR ADC with single-ended inputs	ACTIVE	SBAM395	ADS8353 TINA-TI Transient Spice Model
ADS8405	16-Bit 1.25 MSPS Unipolar Input Micro Power Sampling ADC	ACTIVE	SLAM318	ADS8405 TINA-TI Spice Model
ADS8411	16-Bit, 2MSPS ADC with P8/P16 Parallel Output, Internal Clock & Internal Reference	ACTIVE	SLAM317	ADS8411 TINA-TI Spice Model
ADS8422	16 Bit 4MSPS Parallel ADC W/Ref, Pseudo Bipolar, Fully Differential Input	ACTIVE	SLAM315	ADS8422 TINA-TI Spice Model
ADS8578S	14-Bit High-Speed 8-Channel Simultaneous-Sampling ADC With Bipolar Inputs on a Single Supply	ACTIVE	SBAM312	ADS8588S TINA-TI Transient Spice Model
ADS8584S	16-Bit High-Speed 4-Channel Simultaneous-Sampling ADC With Bipolar Inputs on a Single Supply	ACTIVE	SBAM312	ADS8588S TINA-TI Transient Spice Model
ADS8586S	16-Bit High-Speed 6-Channel Simultaneous-Sampling ADC With Bipolar Inputs on a Single Supply	ACTIVE	SBAM312	ADS8588S TINA-TI Transient Spice Model
ADS8588H	16-Bit 500kSPS 8-Channel Simultaneous-Sampling ADC With Bipolar Inputs on a Single Supply	ACTIVE	SBAM330	ADS8598H TINA-TI Spice Model
ADS8588S	16-Bit High-Speed 8-Channel Simultaneous-Sampling ADC With Bipolar Inputs on a Single Supply	ACTIVE	SBAM312	ADS8588S TINA-TI Transient Spice Model
ADS8598H	18-Bit 500kSPS 8-Channel Simultaneous-Sampling ADC With Bipolar Inputs on a Single Supply	ACTIVE	SBAM330	ADS8598H TINA-TI Spice Model
ADS8598S	18-Bit 200kSPS 8-Channel Simultaneous-Sampling ADC With Bipolar Inputs on a Single Supply	ACTIVE	SBAM312	ADS8588S TINA-TI Transient Spice Model
ADS8638	12-Bit 8-Channel Bipolar SAR With Software-Selectable Input Ranges	ACTIVE	SBAM188A	ADS8638 TINA-TI Spice Model (Rev. A)
ADS8681	16-Bit, 1-MSPS, 1-Ch SAR ADC with programmable (±12/±10/±6/±5/±2.5V) input ranges on +5V supply	ACTIVE	SBAM267	ADS8681 TINA-TI Spice Model
ADS8694	18-Bit 500kSPS 4-Channel SAR ADC With Bipolar Inputs Off 5V Supply	ACTIVE	SBAM252	ADS869X TINA-TI Spice Model
ADS8698	18-Bit 500kSPS 8-Channel SAR ADC With Bipolar Inputs Off 5V Supply	ACTIVE	SBAM252	ADS869X TINA-TI Spice Model
ADS8900B	20-Bit, 1-MSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM302	ADS8900B TINA-TI Transient Spice Model
ADS8902B	20-Bit, 500-kSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM308	ADS8902B TINA-TI Spice Model
ADS8904B	20-Bit, 250-kSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM307	ADS8904B TINA-TI Spice Model
ADS8910B	18-Bit, 1-MSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM276	ADS8910B TINA-TI Spice Model
ADS8910B	18-Bit, 1-MSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM340	±50mA to ±10A, 0V to 75V Common-Mode TINA-TI Spice Model
ADS8912B	18-Bit, 500-kSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM279	ADS8912B TINA-TI Transient Spice Model
ADS8914B	18-Bit, 250-kSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM281	ADS8914B TINA-TI Transient Spice Model
ADS8920B	16-Bit, 1-MSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM283	ADS8920B TINA-TI Transient Spice Model
ADS8922B	16-Bit, 500-kSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM284	ADS8922B TINA-TI Transient Spice Model
ADS8924B	16-Bit, 250-kSPS, 1-Ch SAR ADC with Internal VREF Buffer, Internal LDO and Enhanced SPI Interface	ACTIVE	SBAM287	ADS8924B TINA-TI Transient Spice Model
ADS9110	18-bit, 2-MSPS, one-channel SAR ADC with enhanced serial peripheral interface (SPI)	ACTIVE	SBAM254	ADS9110 TINA-TI Spice Model
ADS9120	16-Bit, 2.5-MSPS, 1-Ch SAR ADC with Enhanced SPI Interface	ACTIVE	SBAM298	ADS9120 TINA-TI Spice Model
