Designator,Mid X,Mid Y,Rotation,Layer
LED39,226.4,-118.7375,0.0,bottom
LED4,83.525,-75.6375,0.0,bottom
LED40,245.45,-118.7375,0.0,bottom
LED41,264.5,-118.7375,0.0,bottom
LED42,283.55,-118.7375,0.0,bottom
LED43,302.6,-118.7375,0.0,bottom
LED44,321.65,-118.7375,0.0,bottom
LED45,345.4625,-118.7375,0.0,bottom
LED46,90.66875,-137.7875,0.0,bottom
LED47,116.8625,-137.7875,0.0,bottom
LED48,135.9125,-137.7875,0.0,bottom
LED49,154.9625,-137.7875,0.0,bottom
LED5,112.1,-75.6375,0.0,bottom
LED50,174.0125,-137.7875,0.0,bottom
LED51,193.0625,-137.7875,0.0,bottom
LED52,212.1125,-137.7875,0.0,bottom
LED53,231.1625,-137.7875,0.0,bottom
LED54,250.2125,-137.7875,0.0,bottom
LED55,269.2625,-137.7875,0.0,bottom
LED56,288.3125,-137.7875,0.0,bottom
LED57,307.3625,-137.7875,0.0,bottom
LED58,338.31875,-137.7875,0.0,bottom
LED59,93.05,-156.8375,0.0,bottom
LED6,131.15,-75.6375,0.0,bottom
LED60,121.625,-156.8375,0.0,bottom
LED61,140.675,-156.8375,0.0,bottom
LED62,159.725,-156.8375,0.0,bottom
LED63,178.775,-156.8375,0.0,bottom
LED64,197.825,-156.8375,0.0,bottom
LED65,216.875,-156.8375,0.0,bottom
LED66,235.925,-156.8375,0.0,bottom
LED67,254.975,-156.8375,0.0,bottom
LED68,274.025,-156.8375,0.0,bottom
LED69,293.075,-156.8375,0.0,bottom
LED7,150.2,-75.6375,0.0,bottom
LED70,321.65,-156.8375,0.0,bottom
LED71,350.225,-156.8375,0.0,bottom
LED72,85.90625,-175.8875,0.0,bottom
LED73,109.71875,-175.8875,0.0,bottom
LED74,133.53125,-175.8875,0.0,bottom
LED75,204.96875,-175.8875,0.0,bottom
LED76,274.025,-175.8875,0.0,bottom
LED77,293.075,-175.8875,0.0,bottom
LED78,312.125,-175.8875,0.0,bottom
LED79,331.175,-175.8875,0.0,bottom
LED8,169.25,-75.6375,0.0,bottom
LED80,350.225,-175.8875,0.0,bottom
LED81,369.275,-175.8875,0.0,bottom
LED82,371.75,-108.75,270.0,bottom
LED9,197.825,-75.6375,0.0,bottom
PC1,54.95,-117.8,0.0,bottom
PC2,43.0,-117.79,0.0,bottom
R1,61.25,-179.0,270.0,bottom
R10,41.0,-108.0,0.0,bottom
R11,47.75,-94.25,270.0,bottom
R12,46.5,-98.25,90.0,bottom
R13,47.75,-98.25,90.0,bottom
R14,39.75,-92.5,180.0,bottom
R15,41.75,-98.25,90.0,bottom
R16,39.75,-95.5,180.0,bottom
R17,39.75,-94.5,0.0,bottom
R18,39.75,-93.5,180.0,bottom
R19,48.0,-83.25,270.0,bottom
R2,32.25,-103.75,180.0,bottom
R20,50.0,-83.25,270.0,bottom
R21,51.0,-81.0,270.0,bottom
R22,47.0,-81.0,270.0,bottom
R23,101.351,-130.5,90.0,bottom
R3,36.75093,-170.631557,180.0,bottom
R4,59.25,-161.75,90.0,bottom
R5,32.25,-96.25,0.0,bottom
R6,52.084461,-161.75,270.0,bottom
R7,57.5,-115.0,0.0,bottom
R8,55.25,-99.0,90.0,bottom
R9,57.0,-98.5,0.0,bottom
S1,30.8,-100.0,270.0,bottom
S2,55.675,-161.249,0.0,bottom
S3,32.2,-91.0,90.0,bottom
SW1,350.225,-161.725,0.0,bottom
SW10,321.65,-161.725,0.0,bottom
SW11,338.31875,-142.675,0.0,bottom
SW12,307.3625,-142.675,0.0,bottom
SW13,302.6,-123.625,0.0,bottom
SW14,312.125,-104.575,0.0,bottom
SW15,321.65,-123.625,0.0,bottom
SW16,321.65,-80.525,0.0,bottom
SW17,274.025,-180.775,0.0,bottom
SW18,293.075,-180.775,0.0,bottom
SW19,288.3125,-142.675,0.0,bottom
SW2,331.175,-180.775,0.0,bottom
SW20,293.075,-161.725,0.0,bottom
SW21,302.6,-80.525,0.0,bottom
SW22,293.075,-104.575,0.0,bottom
SW23,283.55,-80.525,0.0,bottom
SW24,283.55,-123.625,0.0,bottom
SW25,274.025,-161.725,0.0,bottom
SW26,254.975,-161.725,0.0,bottom
SW27,269.2625,-142.675,0.0,bottom
SW28,250.2125,-142.675,0.0,bottom
